link,title
#cite_note-despicableme3-29,29
/wiki/1993_no_cinema,1993
/wiki/Jurassic_Park,Jurassic Park
/wiki/Universal_Studios,Universal Studios
#cite_note-30,30
/wiki/2016_no_cinema,2016
/wiki/Finding_Dory,Finding Dory
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-osi-31,31
/wiki/1999_no_cinema,1999
/wiki/Star_Wars_Episode_I:_The_Phantom_Menace,Star Wars: Episode I - The Phantom Menace
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-32,32
/wiki/2010_no_cinema,2010
/wiki/Alice_no_Pa%C3%ADs_das_Maravilhas_(2010),
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-33,33
/wiki/2016_no_cinema,2016
/wiki/Zootopia,Zootopia
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-Zoo-34,34
/wiki/2012_no_cinema,2012
/wiki/The_Hobbit:_An_Unexpected_Journey,The Hobbit: An Unexpected Journey
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-35,35
/wiki/2008_no_cinema,2008
/wiki/The_Dark_Knight,The Dark Knight
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-36,36
/wiki/2001_no_cinema,2001
/wiki/Harry_Potter_e_a_Pedra_Filosofal_(filme),Harry Potter and the Philosopher's Stone
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-37,37
/wiki/2013_no_cinema,2013
/wiki/Despicable_Me_2,Despicable Me 2
/wiki/Universal_Pictures,Universal Pictures
#cite_note-http-38,38
/wiki/1994_no_cinema,1994
/wiki/O_Rei_Le%C3%A3o,The Lion King
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-leao-39,39
/wiki/2016_no_cinema,2016
/wiki/The_Jungle_Book_(2016),The Jungle Book
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-tjb-40,40
/wiki/2007_no_cinema,2007
/wiki/Pirates_of_the_Caribbean:_At_World%27s_End,Pirates of the Caribbean: At World's End
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-41,41
/wiki/2017_no_cinema,2017
/wiki/Jumanji:_Welcome_to_the_Jungle,Jumanji: Welcome to the Jungle
/wiki/Sony_Pictures_Entertainment,Sony Pictures Releasing
#cite_note-42,42
/wiki/2010_no_cinema,2010
/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_1,Harry Potter and the Deathly Hallows – Part 1
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-43,43
/wiki/2013_no_cinema,2013
/wiki/O_Hobbit:_A_Desola%C3%A7%C3%A3o_de_Smaug,The Hobbit: The Desolation of Smaug
/wiki/Warner_Bros._Pictures,Warner Bros.  Pictures
#cite_note-44,44
/wiki/2014_no_cinema,2014
/wiki/O_Hobbit:_A_Batalha_dos_Cinco_Ex%C3%A9rcitos,The Hobbit: The Battle of the Five Armies
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-45,45
/wiki/2003_no_cinema,2003
/wiki/Finding_Nemo,Finding Nemo
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-nemo-46,46
/wiki/2007_no_cinema,2007
/wiki/Harry_Potter_and_the_Order_of_the_Phoenix_(filme),Harry Potter and the Order of the Phoenix
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-47,47
/wiki/2009_no_cinema,2009
/wiki/Harry_Potter_e_o_Enigma_do_Pr%C3%ADncipe_(filme),Harry Potter and the Half-Blood Prince
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-48,48
/wiki/2002_no_cinema,2002
/wiki/O_Senhor_dos_An%C3%A9is:_As_Duas_Torres,
/wiki/New_Line_Cinema,New Line Cinema
#cite_note-49,49
/wiki/2004_no_cinema,2004
/wiki/Shrek_2,Shrek 2
